SeriesId,Year,Period,Label,Value,Race,Gender
LEU0252932700,2001,A01,2001 Annual,1241,White,Men
LEU0252932700,2002,A01,2002 Annual,1279,White,Men
LEU0252932700,2003,A01,2003 Annual,1339,White,Men
LEU0252932700,2004,A01,2004 Annual,1397,White,Men
LEU0252932700,2005,A01,2005 Annual,1409,White,Men
LEU0252932700,2006,A01,2006 Annual,1446,White,Men
LEU0252932700,2007,A01,2007 Annual,1472,White,Men
LEU0252932700,2008,A01,2008 Annual,1527,White,Men
LEU0252932700,2009,A01,2009 Annual,1559,White,Men
LEU0252932700,2010,A01,2010 Annual,1578,White,Men
LEU0252932700,2011,A01,2011 Annual,1604,White,Men
LEU0252932700,2012,A01,2012 Annual,1650,White,Men
LEU0252932700,2013,A01,2013 Annual,1652,White,Men
LEU0252932700,2014,A01,2014 Annual,1642,White,Men
LEU0252932700,2015,A01,2015 Annual,1661,White,Men
LEU0252932700,2016,A01,2016 Annual,1726,White,Men
LEU0252932700,2017,A01,2017 Annual,1760,White,Men
LEU0252932700,2018,A01,2018 Annual,1836,White,Men
LEU0252932700,2019,A01,2019 Annual,1880,White,Men
LEU0252932700,2020,A01,2020 Annual,1895,White,Men
LEU0252932700,2021,A01,2021 Annual,1916,White,Men
LEU0252932700,2022,A01,2022 Annual,2013,White,Men
LEU0252932700,2023,A01,2023 Annual,2098,White,Men
LEU0254931200,2000,A01,2000 Annual,714,White,Men
LEU0254931200,2001,A01,2001 Annual,745,White,Men
LEU0254931200,2002,A01,2002 Annual,753,White,Men
LEU0254931200,2003,A01,2003 Annual,761,White,Men
LEU0254931200,2004,A01,2004 Annual,787,White,Men
LEU0254931200,2005,A01,2005 Annual,794,White,Men
LEU0254931200,2006,A01,2006 Annual,826,White,Men
LEU0254931200,2007,A01,2007 Annual,841,White,Men
LEU0254931200,2008,A01,2008 Annual,866,White,Men
LEU0254931200,2009,A01,2009 Annual,868,White,Men
LEU0254931200,2010,A01,2010 Annual,877,White,Men
LEU0254931200,2011,A01,2011 Annual,873,White,Men
LEU0254931200,2012,A01,2012 Annual,894,White,Men
LEU0254931200,2013,A01,2013 Annual,893,White,Men
LEU0254931200,2014,A01,2014 Annual,909,White,Men
LEU0254931200,2015,A01,2015 Annual,916,White,Men
LEU0254931200,2016,A01,2016 Annual,927,White,Men
LEU0254931200,2017,A01,2017 Annual,959,White,Men
LEU0254931200,2018,A01,2018 Annual,993,White,Men
LEU0254931200,2019,A01,2019 Annual,1030,White,Men
LEU0254931200,2020,A01,2020 Annual,1073,White,Men
LEU0254931200,2021,A01,2021 Annual,1096,White,Men
LEU0254931200,2022,A01,2022 Annual,1158,White,Men
LEU0254931200,2023,A01,2023 Annual,1206,White,Men
LEU0252933900,2000,A01,2000 Annual,305,White,Women
LEU0252933900,2001,A01,2001 Annual,317,White,Women
LEU0252933900,2002,A01,2002 Annual,325,White,Women
LEU0252933900,2003,A01,2003 Annual,331,White,Women
LEU0252933900,2004,A01,2004 Annual,335,White,Women
LEU0252933900,2005,A01,2005 Annual,340,White,Women
LEU0252933900,2006,A01,2006 Annual,355,White,Women
LEU0252933900,2007,A01,2007 Annual,368,White,Women
LEU0252933900,2008,A01,2008 Annual,378,White,Women
LEU0252933900,2009,A01,2009 Annual,378,White,Women
LEU0252933900,2010,A01,2010 Annual,382,White,Women
LEU0252933900,2011,A01,2011 Annual,394,White,Women
LEU0252933900,2012,A01,2012 Annual,389,White,Women
LEU0252933900,2013,A01,2013 Annual,401,White,Women
LEU0252933900,2014,A01,2014 Annual,406,White,Women
LEU0252933900,2015,A01,2015 Annual,418,White,Women
LEU0252933900,2016,A01,2016 Annual,421,White,Women
LEU0252933900,2017,A01,2017 Annual,446,White,Women
LEU0252933900,2018,A01,2018 Annual,473,White,Women
LEU0252933900,2019,A01,2019 Annual,497,White,Women
LEU0252933900,2020,A01,2020 Annual,520,White,Women
LEU0252933900,2021,A01,2021 Annual,554,White,Women
LEU0252933900,2022,A01,2022 Annual,595,White,Women
LEU0252933900,2023,A01,2023 Annual,631,White,Women
LEU0252934500,2000,A01,2000 Annual,432,White,Women
LEU0252934500,2001,A01,2001 Annual,454,White,Women
LEU0252934500,2002,A01,2002 Annual,470,White,Women
LEU0252934500,2003,A01,2003 Annual,484,White,Women
LEU0252934500,2004,A01,2004 Annual,496,White,Women
LEU0252934500,2005,A01,2005 Annual,504,White,Women
LEU0252934500,2006,A01,2006 Annual,510,White,Women
LEU0252934500,2007,A01,2007 Annual,523,White,Women
LEU0252934500,2008,A01,2008 Annual,535,White,Women
LEU0252934500,2009,A01,2009 Annual,556,White,Women
LEU0252934500,2010,A01,2010 Annual,558,White,Women
LEU0252934500,2011,A01,2011 Annual,572,White,Women
LEU0252934500,2012,A01,2012 Annual,581,White,Women
LEU0252934500,2013,A01,2013 Annual,587,White,Women
LEU0252934500,2014,A01,2014 Annual,591,White,Women
LEU0252934500,2015,A01,2015 Annual,602,White,Women
LEU0252934500,2016,A01,2016 Annual,610,White,Women
