Year,Occupation,Total_Number,Men_Number,Women_Number,Total_MedianEarnings,Men_MedianEarnings,Women_MedianEarnings
2018,Healthcare Support Occupations:,3007586,468885,2538701,29848,32025,29172
2018,Registered nurses,2438923,322127,2116796,67380,72084,66871
2018,"Computer, Engineering, and Science Occupations:",8095862,6081337,2014525,81695,85843,72103
2018,Elementary and middle school teachers,2573621,579313,1994308,52030,56630,51277
2018,Production Occupations:,7221510,5310063,1911447,39918,42766,30617
2018,Food Preparation and Serving Related Occupations:,3887682,2042084,1845598,24999,26893,22344
2018,"Secretaries and administrative assistants, except legal, medical, and executive",1790070,108808,1681262,37710,42236,37442
2018,Personal Care and Service Occupations:,2089584,564375,1525209,27687,34453,26103
2019,Sales and Office Occupations:,22067147,8914814,13152333,41232,50536,37229
2019,Office and Administrative Support Occupations:,12078551,3204456,8874095,39299,43475,37457
2019,"Education, Legal, Community Service, Arts, and Media Occupations:",11641414,4250685,7390729,53149,61996,50476
2019,Healthcare Practitioners and Technical Occupations:,7181268,1970812,5210456,66614,85126,62299
2019,"Educational Instruction, and Library Occupations:",6042723,1705554,4337169,51382,60576,48833
2019,Sales and Related Occupations:,9988596,5710358,4278238,46454,54461,36458
2019,Business and Financial Operations Occupations:,7130983,3317732,3813251,70234,80061,62437
2019,Healthcare Support Occupations:,3198658,490858,2707800,30473,32452,30163
2019,"Computer, Engineering, and Science Occupations:",8747777,6532159,2215618,84801,88755,75030
2019,Registered nurses,2523490,336793,2186697,69754,73603,68509
2019,Production Occupations:,7324192,5351516,1972676,40136,43346,30856
2019,Food Preparation and Serving Related Occupations:,3965189,2074020,1891169,25694,27441,23440
2019,Elementary and middle school teachers,2064340,407312,1657028,52368,57041,51787
2019,"Secretaries and administrative assistants, except legal, medical, and executive",1680344,103188,1577156,39913,44698,39572
2019,Personal Care and Service Occupations:,2100017,578420,1521597,29636,33951,27066
2020,Professional and related occupations,29213,13008,16204,1270,1532,1121
2020,Sales and office occupations,21165,8435,12729,809,956,746
2020,Office and administrative support occupations,12207,3445,8762,781,868,756
2020,Healthcare practitioners and technical occupations,7504,1921,5584,1227,1506,1153
2020,"Education, training, and library occupations",7012,1870,5142,1096,1327,1026
2020,Business and financial operations occupations,7294,3312,3982,1363,1550,1209
2020,Sales and related occupations,8958,4991,3967,880,1046,715
2020,Healthcare support occupations,3210,532,2678,606,640,600
2020,Elementary and middle school teachers,3064,634,2430,1118,1258,1085
2020,Registered nurses,2701,364,2337,1262,1454,1240
2020,Production occupations,6820,5055,1765,775,841,630
2020,Food preparation and serving related occupations,3353,1700,1653,530,570,506
2020,"Secretaries and administrative assistants, except legal, medical, and executive",1607,112,1496,781,929,777
2020,Community and social service occupations,2187,703,1484,1003,1103,976
2020,Transportation and material moving occupations,7917,6439,1478,719,759,600
2021,Sales and Office Occupations:,20746616,8433139,12313477,45034,53083,40877
2021,Office and Administrative Support Occupations:,11749720,3180392,8569328,41853,47069,40842
2021,"Education, Legal, Community Service, Arts, and Media Occupations:",11786704,4282233,7504471,58230,67526,54006
2021,Healthcare Practitioners and Technical Occupations:,7246380,2009340,5237040,72368,91134,68247
2021,"Educational Instruction, and Library Occupations:",6261803,1809702,4452101,55329,63859,51984
2021,Business and Financial Operations Occupations:,7748685,3611239,4137446,75831,85910,67890
2021,Sales and Related Occupations:,8996896,5252747,3744149,51457,61244,41002
2021,Healthcare Support Occupations:,2964496,476203,2488293,32415,35982,32091
2021,"Computer, Engineering, and Science Occupations:",9540113,7130087,2410026,90974,94701,80406
2021,Registered nurses,2535581,334253,2201328,74126,80003,73201
2021,Elementary and middle school teachers,2201887,449923,1751964,56218,60438,55272
2021,Production Occupations:,6513044,4803799,1709245,42199,46794,34003
2021,"Secretaries and administrative assistants, except legal, medical, and executive",1541391,110655,1430736,41767,49636,41478
2021,"Managers, all other",3776173,2382407,1393766,88771,97904,76803
2021,Food Preparation and Serving Related Occupations:,2787670,1401629,1386041,26981,29956,25231
2022,Sales and Office Occupations:,22008192,9084640,12923552,47167,56483,42390
