occupation_group,occupation,total_number_of_workers,total_median_weekly_earnings,men_number_of_workers,men_median_weekly_earnings,women_number_of_workers,women_median_weekly_earnings
Architecture and engineering occupations,"Surveyors, cartographers, and photogrammetrists",37,–,31,–,6,–
Architecture and engineering occupations,Aerospace engineers,177,"2,071",152,"2,086",25,–
Architecture and engineering occupations,Agricultural engineers,4,–,4,–,0,–
Architecture and engineering occupations,Bioengineers and biomedical engineers,27,–,21,–,6,–
Architecture and engineering occupations,Chemical engineers,86,"2,285",67,"2,300",19,–
Architecture and engineering occupations,Civil engineers,479,"1,752",401,"1,839",78,"1,465"
Architecture and engineering occupations,Computer hardware engineers,69,"2,277",65,"2,252",4,–
Architecture and engineering occupations,Electrical and electronics engineers,244,"2,056",216,"2,101",28,–
Architecture and engineering occupations,Environmental engineers,29,–,22,–,7,–
Architecture and engineering occupations,"Industrial engineers, including health and safety",278,"1,740",209,"1,766",69,"1,682"
Architecture and engineering occupations,Marine engineers and naval architects,11,–,11,–,0,–
Architecture and engineering occupations,Materials engineers,52,"2,220",46,–,6,–
Architecture and engineering occupations,Mechanical engineers,423,"1,890",381,"1,901",43,–
Architecture and engineering occupations,"Mining and geological engineers, including mining safety engineers",9,–,9,–,0,–
Architecture and engineering occupations,Nuclear engineers,4,–,4,–,0,–
Architecture and engineering occupations,Petroleum engineers,10,–,10,–,0,–
Architecture and engineering occupations,"Engineers, all other",620,"1,938",528,"1,953",93,"1,904"
Architecture and engineering occupations,Architectural and civil drafters,23,–,19,–,4,–
Architecture and engineering occupations,Other drafters,73,"1,326",58,"1,259",15,–
Architecture and engineering occupations,Electrical and electronic engineering technologists and technicians,93,"1,429",82,"1,442",12,–
Architecture and engineering occupations,"Other engineering technologists and technicians, except drafters",359,"1,217",296,"1,287",63,982
Architecture and engineering occupations,Surveying and mapping technicians,83,"1,001",73,"1,023",10,–
"Life, physical, and social science occupations",Agricultural and food scientists,22,–,13,–,10,–
"Life, physical, and social science occupations",Biological scientists,104,"1,404",47,–,57,"1,352"
"Life, physical, and social science occupations",Conservation scientists and foresters,29,–,19,–,10,–
"Life, physical, and social science occupations",Medical scientists,138,"1,826",69,"2,290",69,"1,537"
"Life, physical, and social science occupations","Life scientists, all other",8,–,3,–,5,–
"Life, physical, and social science occupations",Astronomers and physicists,24,–,19,–,5,–
"Life, physical, and social science occupations",Atmospheric and space scientists,13,–,9,–,4,–
"Life, physical, and social science occupations",Chemists and materials scientists,96,"1,913",63,"2,180",33,–
"Life, physical, and social science occupations","Environmental scientists and specialists, including health",49,–,26,–,23,–
"Life, physical, and social science occupations","Geoscientists and hydrologists, except geographers",31,–,21,–,10,–
"Life, physical, and social science occupations","Physical scientists, all other",399,"1,731",220,"1,742",179,"1,649"
"Life, physical, and social science occupations",Economists,22,–,14,–,8,–
"Life, physical, and social science occupations",Survey researchers,3,–,2,–,2,–
"Life, physical, and social science occupations",Clinical and counseling psychologists,5,–,2,–,3,–
"Life, physical, and social science occupations",School psychologists,46,–,5,–,41,–
"Life, physical, and social science occupations",Other psychologists,65,"1,726",16,–,49,–
"Life, physical, and social science occupations",Sociologists,6,–,1,–,4,–
"Life, physical, and social science occupations",Urban and regional planners,34,–,23,–,12,–
"Life, physical, and social science occupations",Miscellaneous social scientists and related workers,42,–,20,–,22,–
"Life, physical, and social science occupations",Agricultural and food science technicians,34,–,20,–,15,–
"Life, physical, and social science occupations",Biological technicians,26,–,15,–,11,–
"Life, physical, and social science occupations",Chemical technicians,58,"1,377",39,–,18,–
"Life, physical, and social science occupations",Environmental science and geoscience technicians,13,–,11,–,2,–
"Life, physical, and social science occupations",Nuclear technicians,8,–,3,–,5,–
"Life, physical, and social science occupations",Social science research assistants,4,–,3,–,1,–
"Life, physical, and social science occupations","Other life, physical, and social science technicians",240,"1,306",99,"1,430",141,"1,275"
"Life, physical, and social science occupations",Occupational health and safety specialists and technicians,63,"1,437",49,–,14,–
Community and social service occupations,Community and social service occupations,"2,334","1,147",735,"1,157","1,599","1,144"
Community and social service occupations,Substance abuse and behavioral disorder counselors,103,"1,138",24,–,79,"1,130"
Community and social service occupations,"Educational, guidance, and career counselors and advisors",338,"1,167",73,"1,227",264,"1,158"
Community and social service occupations,Marriage and family therapists,14,–,1,–,13,–
Community and social service occupations,Mental health counselors,123,"1,316",32,–,91,"1,372"
Community and social service occupations,Rehabilitation counselors,13,–,5,–,8,–
Community and social service occupations,"Counselors, all other",182,"1,070",51,"1,248",132,"1,011"
Community and social service occupations,"Child, family, and school social workers",64,"1,064",6,–,57,"1,080"
Community and social service occupations,Healthcare social workers,68,"1,028",18,–,50,"1,028"
Community and social service occupations,Mental health and substance abuse social workers,11,–,3,–,8,–
Community and social service occupations,"Social workers, all other",654,"1,233",113,"1,253",541,"1,228"
Community and social service occupations,Probation officers and correctional treatment specialists,79,"1,196",33,–,46,–
Community and social service occupations,Social and human service assistants,200,963,54,967,146,962
Community and social service occupations,Other community and social service specialists,82,"1,045",23,–,60,"1,055"
Community and social service occupations,Clergy,308,"1,084",261,"1,074",47,–
Community and social service occupations,"Directors, religious activities and education",58,"1,244",21,–,37,–
Community and social service occupations,"Religious workers, all other",37,–,17,–,20,–
Legal occupations,Lawyers,887,"2,438",514,"2,505",374,"2,330"
Legal occupations,Judicial law clerks,13,–,1,–,13,–
Legal occupations,"Judges, magistrates, and other judicial workers",66,"2,196",32,–,34,–
Legal occupations,Paralegals and legal assistants,371,"1,159",68,"1,425",303,"1,125"
