occupation_group,occupation,total_number_of_workers,total_median_weekly_earnings,men_number_of_workers,men_median_weekly_earnings,women_number_of_workers,women_median_weekly_earnings
Office and administrative support occupations,Customer service representatives,"2,157",828,731,918,"1,426",799
Office and administrative support occupations,"Eligibility interviewers, government programs",96,960,15,–,81,951
Office and administrative support occupations,File Clerks,86,898,26,–,61,882
Office and administrative support occupations,"Hotel, motel, and resort desk clerks",87,741,39,–,48,–
Office and administrative support occupations,"Interviewers, except eligibility and loan",166,789,33,–,133,797
Office and administrative support occupations,"Library assistants, clerical",33,–,5,–,27,–
Office and administrative support occupations,Loan interviewers and clerks,128,931,32,–,96,887
Office and administrative support occupations,New accounts clerks,17,–,8,–,9,–
Office and administrative support occupations,Order clerks,66,734,30,–,36,–
Office and administrative support occupations,"Human resources assistants, except payroll and timekeeping",71,988,7,–,64,982
Office and administrative support occupations,Receptionists and information clerks,827,752,112,770,715,749
Office and administrative support occupations,Reservation and transportation ticket agents and travel clerks,113,900,64,987,49,–
Office and administrative support occupations,"Information and record clerks, all other",71,858,14,–,57,802
Office and administrative support occupations,Cargo and freight agents,25,–,13,–,12,–
Office and administrative support occupations,Couriers and messengers,547,853,435,885,112,711
Office and administrative support occupations,Public safety telecommunicators,67,"1,013",11,–,55,964
Office and administrative support occupations,"Dispatchers, except police, fire, and ambulance",156,898,65,"1,128",91,852
Office and administrative support occupations,"Meter readers, utilities",20,–,19,–,0,–
Office and administrative support occupations,Postal service clerks,95,894,46,–,49,–
Office and administrative support occupations,Postal service mail carriers,279,"1,130",182,"1,194",97,"1,015"
Office and administrative support occupations,"Postal service mail sorters, processors, and processing machine operators",58,904,26,–,31,–
Office and administrative support occupations,"Production, planning, and expediting clerks",198,"1,334",109,"1,335",89,"1,333"
Office and administrative support occupations,"Shipping, receiving, and inventory clerks",555,811,356,827,199,789
Office and administrative support occupations,"Weighers, measurers, checkers, and samplers, recordkeeping",59,843,36,–,23,–
Office and administrative support occupations,Executive secretaries and executive administrative assistants,179,"1,272",16,–,163,"1,272"
Office and administrative support occupations,Legal secretaries and administrative assistants,40,–,3,–,37,–
Office and administrative support occupations,Medical secretaries and administrative assistants,80,909,6,–,74,914
Office and administrative support occupations,"Secretaries and administrative assistants, except legal, medical, and executive","1,387",894,130,"1,101","1,257",882
Office and administrative support occupations,Data entry keyers,185,814,59,819,126,809
Office and administrative support occupations,Word processors and typists,33,–,3,–,31,–
Office and administrative support occupations,Desktop publishers,1,–,0,–,1,–
Office and administrative support occupations,Insurance claims and policy processing clerks,265,912,59,"1,062",206,896
Office and administrative support occupations,"Mail clerks and mail machine operators, except postal service",37,–,20,–,17,–
Office and administrative support occupations,"Office clerks, general",926,828,176,867,750,824
Office and administrative support occupations,"Office machine operators, except computer",15,–,5,–,10,–
Office and administrative support occupations,Proofreaders and copy markers,4,–,1,–,4,–
Office and administrative support occupations,Statistical assistants,14,–,11,–,3,–
Office and administrative support occupations,"Office and administrative support workers, all other",380,"1,007",134,"1,038",246,988
"Farming, fishing, and forestry occupations","First-line supervisors of farming, fishing, and forestry workers",59,907,48,–,11,–
"Farming, fishing, and forestry occupations",Agricultural inspectors,24,–,17,–,7,–
"Farming, fishing, and forestry occupations",Animal breeders,9,–,9,–,0,–
"Farming, fishing, and forestry occupations","Graders and sorters, agricultural products",39,–,13,–,26,–
"Farming, fishing, and forestry occupations",Miscellaneous agricultural workers,542,662,412,704,130,598
"Farming, fishing, and forestry occupations",Fishing and hunting workers,7,–,7,–,0,–
"Farming, fishing, and forestry occupations",Forest and conservation workers,18,–,9,–,9,–
"Farming, fishing, and forestry occupations",Logging workers,33,–,33,–,0,–
Construction and extraction occupations,First-line supervisors of construction trades and extraction workers,537,"1,373",525,"1,361",13,–
Construction and extraction occupations,Boilermakers,14,–,12,–,3,–
Construction and extraction occupations,"Brickmasons, blockmasons, and stonemasons",76,850,75,856,1,–
Construction and extraction occupations,Carpenters,942,928,915,927,27,–
Construction and extraction occupations,"Carpet, floor, and tile installers and finishers",67,924,61,931,6,–
Construction and extraction occupations,"Cement masons, concrete finishers, and terrazzo workers",48,–,48,–,0,–
Construction and extraction occupations,Construction laborers,"1,572",858,"1,498",870,74,711
Construction and extraction occupations,Construction equipment operators,353,"1,113",351,"1,115",2,–
Construction and extraction occupations,"Drywall installers, ceiling tile installers, and tapers",90,812,88,815,2,–
Construction and extraction occupations,Electricians,813,"1,195",793,"1,199",19,–
Construction and extraction occupations,Glaziers,28,–,25,–,3,–
Construction and extraction occupations,Insulation workers,61,"1,079",57,973,4,–
Construction and extraction occupations,Painters and paperhangers,389,810,348,821,41,–
Construction and extraction occupations,Pipelayers,46,–,46,–,0,–
Construction and extraction occupations,"Plumbers, pipefitters, and steamfitters",546,"1,063",538,"1,070",8,–
Construction and extraction occupations,Plasterers and stucco masons,22,–,22,–,0,–
Construction and extraction occupations,Reinforcing iron and rebar workers,10,–,10,–,0,–
Construction and extraction occupations,Roofers,187,804,179,808,8,–
Construction and extraction occupations,Sheet metal workers,112,"1,096",108,"1,095",4,–
Construction and extraction occupations,Structural iron and steel workers,37,–,35,–,2,–
Construction and extraction occupations,Solar photovoltaic installers,14,–,14,–,0,–
Construction and extraction occupations,"Helpers, construction trades",49,–,45,–,4,–
Construction and extraction occupations,Construction and building inspectors,85,"1,193",78,"1,197",7,–
Construction and extraction occupations,Elevator and escalator installers and repairers,39,–,39,–,0,–
Construction and extraction occupations,Fence erectors,26,–,26,–,0,–
Construction and extraction occupations,Hazardous materials removal workers,21,–,21,–,0,–
Construction and extraction occupations,Highway maintenance workers,98,941,98,941,0,–
Construction and extraction occupations,Rail-track laying and maintenance equipment operators,22,–,22,–,0,–
Construction and extraction occupations,Septic tank servicers and sewer pipe cleaners,7,–,5,–,1,–
Construction and extraction occupations,Miscellaneous construction and related workers,48,–,44,–,4,–
Construction and extraction occupations,"Derrick, rotary drill, and service unit operators, oil and gas",21,–,21,–,0,–
Construction and extraction occupations,"Excavating and loading machine and dragline operators, surface mining",9,–,6,–,3,–
Construction and extraction occupations,"Earth drillers, except oil and gas",22,–,22,–,0,–
Construction and extraction occupations,"Explosives workers, ordnance handling experts, and blasters",7,–,7,–,0,–
Construction and extraction occupations,Underground mining machine operators,43,–,42,–,1,–
Construction and extraction occupations,"Roustabouts, oil and gas",8,–,8,–,0,–
Construction and extraction occupations,Other extraction workers,47,–,46,–,1,–
"Installation, maintenance, and repair occupations","First-line supervisors of mechanics, installers, and repairers",227,"1,246",210,"1,246",17,–
"Installation, maintenance, and repair occupations","Computer, automated teller, and office machine repairers",109,"1,042",92,"1,072",17,–
"Installation, maintenance, and repair occupations",Radio and telecommunications equipment installers and repairers,92,"1,042",85,"1,052",7,–
"Installation, maintenance, and repair occupations",Avionics technicians,10,–,9,–,1,–
"Installation, maintenance, and repair occupations","Electric motor, power tool, and related repairers",18,–,18,–,0,–
"Installation, maintenance, and repair occupations","Electrical and electronics installers and repairers, transportation equipment",0,–,0,–,0,–
"Installation, maintenance, and repair occupations","Electrical and electronics repairers, industrial and utility",8,–,7,–,0,–
"Installation, maintenance, and repair occupations","Electronic equipment installers and repairers, motor vehicles",3,–,3,–,0,–
"Installation, maintenance, and repair occupations",Audiovisual equipment installers and repairers,19,–,17,–,2,–
"Installation, maintenance, and repair occupations",Security and fire alarm systems installers,37,–,36,–,1,–
"Installation, maintenance, and repair occupations",Aircraft mechanics and service technicians,115,"1,355",112,"1,370",3,–
"Installation, maintenance, and repair occupations",Automotive body and related repairers,105,"1,025",97,"1,049",8,–
"Installation, maintenance, and repair occupations",Automotive glass installers and repairers,18,–,17,–,1,–
"Installation, maintenance, and repair occupations",Automotive service technicians and mechanics,741,994,727,"1,001",15,–
"Installation, maintenance, and repair occupations",Bus and truck mechanics and diesel engine specialists,281,"1,093",277,"1,095",5,–
"Installation, maintenance, and repair occupations",Heavy vehicle and mobile equipment service technicians and mechanics,194,"1,206",191,"1,210",3,–
"Installation, maintenance, and repair occupations",Small engine mechanics,28,–,27,–,1,–
"Installation, maintenance, and repair occupations","Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",56,804,55,810,1,–
"Installation, maintenance, and repair occupations",Control and valve installers and repairers,19,–,18,–,2,–
"Installation, maintenance, and repair occupations","Heating, air conditioning, and refrigeration mechanics and installers",464,"1,126",458,"1,129",5,–
"Installation, maintenance, and repair occupations",Home appliance repairers,28,–,27,–,1,–
"Installation, maintenance, and repair occupations",Industrial and refractory machinery mechanics,397,"1,172",383,"1,183",14,–
"Installation, maintenance, and repair occupations","Maintenance and repair workers, general",586,"1,007",559,"1,017",27,–
"Installation, maintenance, and repair occupations","Maintenance workers, machinery",20,–,19,–,2,–
"Installation, maintenance, and repair occupations",Millwrights,33,–,32,–,1,–
"Installation, maintenance, and repair occupations",Electrical power-line installers and repairers,122,"1,373",120,"1,374",2,–
"Installation, maintenance, and repair occupations",Telecommunications line installers and repairers,141,"1,135",134,"1,141",8,–
"Installation, maintenance, and repair occupations",Precision instrument and equipment repairers,35,–,32,–,4,–
"Installation, maintenance, and repair occupations",Wind turbine service technicians,9,–,9,–,0,–
"Installation, maintenance, and repair occupations","Coin, vending, and amusement machine servicers and repairers",26,–,21,–,5,–
"Installation, maintenance, and repair occupations",Commercial divers,1,–,1,–,0,–
"Installation, maintenance, and repair occupations",Locksmiths and safe repairers,23,–,23,–,0,–
"Installation, maintenance, and repair occupations",Manufactured building and mobile home installers,3,–,3,–,0,–
"Installation, maintenance, and repair occupations",Riggers,15,–,15,–,0,–
"Installation, maintenance, and repair occupations","Helpers--installation, maintenance, and repair workers",12,–,12,–,0,–
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair workers",124,"1,014",123,"1,018",2,–
Production occupations,First-line supervisors of production and operating workers,714,"1,175",560,"1,263",154,914
Production occupations,"Aircraft structure, surfaces, rigging, and systems assemblers",14,–,8,–,6,–
Production occupations,"Electrical, electronics, and electromechanical assemblers",115,824,61,887,54,782
Production occupations,Engine and other machine assemblers,12,–,11,–,2,–
Production occupations,Structural metal fabricators and fitters,18,–,18,–,0,–
Production occupations,Other assemblers and fabricators,961,812,607,852,355,758
Production occupations,Bakers,139,670,58,726,81,656
Production occupations,"Butchers and other meat, poultry, and fish processing workers",231,767,161,818,69,696
Production occupations,"Food and tobacco roasting, baking, and drying machine operators and tenders",2,–,1,–,1,–
Production occupations,Food batchmakers,57,810,27,–,30,–
Production occupations,Food cooking machine operators and tenders,8,–,6,–,3,–
Production occupations,"Food processing workers, all other",137,927,102,970,35,–
Production occupations,Computer numerically controlled tool operators and programmers,107,"1,055",96,"1,087",11,–
Production occupations,"Forming machine setters, operators, and tenders, metal and plastic",28,–,20,–,8,–
Production occupations,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",68,780,66,788,2,–
Production occupations,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",35,–,30,–,5,–
Production occupations,"Other machine tool setters, operators, and tenders, metal and plastic",8,–,6,–,2,–
Production occupations,Machinists,284,"1,023",263,"1,049",21,–
Production occupations,"Metal furnace operators, tenders, pourers, and casters",15,–,13,–,2,–
Production occupations,"Model makers and patternmakers, metal and plastic",5,–,5,–,0,–
Production occupations,"Molders and molding machine setters, operators, and tenders, metal and plastic",29,–,27,–,2,–
Production occupations,Tool and die makers,31,–,31,–,0,–
Production occupations,"Welding, soldering, and brazing workers",498,"1,012",465,"1,019",33,–
Production occupations,Other metal workers and plastic workers,347,855,278,906,69,684
Production occupations,Prepress technicians and workers,9,–,9,–,0,–
Production occupations,Printing press operators,117,869,94,914,24,–
Production occupations,Print binding and finishing workers,11,–,11,–,0,–
Production occupations,Laundry and dry-cleaning workers,92,665,24,–,69,636
Production occupations,"Pressers, textile, garment, and related materials",16,–,10,–,6,–
Production occupations,Sewing machine operators,103,673,31,–,71,655
Production occupations,Shoe and leather workers,6,–,3,–,3,–
Production occupations,"Tailors, dressmakers, and sewers",32,–,5,–,27,–
Production occupations,"Textile machine setters, operators, and tenders",17,–,7,–,10,–
Production occupations,Upholsterers,15,–,10,–,5,–
Production occupations,"Other textile, apparel, and furnishings workers",9,–,4,–,6,–
Production occupations,Cabinetmakers and bench carpenters,33,–,32,–,2,–
Production occupations,Furniture finishers,7,–,4,–,2,–
Production occupations,"Sawing machine setters, operators, and tenders, wood",16,–,14,–,2,–
Production occupations,"Woodworking machine setters, operators, and tenders, except sawing",28,–,25,–,4,–
Production occupations,Other woodworkers,15,–,12,–,3,–
Production occupations,"Power plant operators, distributors, and dispatchers",41,–,40,–,1,–
Production occupations,Stationary engineers and boiler operators,72,"1,328",70,"1,337",2,–
Production occupations,Water and wastewater treatment plant and system operators,89,961,81,965,7,–
Production occupations,Miscellaneous plant and system operators,34,–,33,–,1,–
Production occupations,"Chemical processing machine setters, operators, and tenders",41,–,37,–,4,–
Production occupations,"Crushing, grinding, polishing, mixing, and blending workers",94,994,77,"1,020",17,–
Production occupations,Cutting workers,50,826,35,–,15,–
Production occupations,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",14,–,12,–,1,–
Production occupations,"Furnace, kiln, oven, drier, and kettle operators and tenders",8,–,8,–,0,–
Production occupations,"Inspectors, testers, sorters, samplers, and weighers",718,921,436,"1,010",282,809
Production occupations,Jewelers and precious stone and metal workers,33,–,25,–,8,–
Production occupations,Dental and ophthalmic laboratory technicians and medical appliance technicians,56,722,30,–,26,–
Production occupations,Packaging and filling machine operators and tenders,264,716,117,752,147,698
Production occupations,Painting workers,126,816,114,824,12,–
Production occupations,Photographic process workers and processing machine operators,18,–,9,–,9,–
Production occupations,Adhesive bonding machine operators and tenders,10,–,7,–,3,–
Production occupations,Etchers and engravers,5,–,3,–,2,–
Production occupations,"Molders, shapers, and casters, except metal and plastic",17,–,16,–,1,–
Production occupations,"Paper goods machine setters, operators, and tenders",15,–,8,–,6,–
Production occupations,Tire builders,10,–,9,–,1,–
Production occupations,Helpers--production workers,39,–,29,–,10,–
Production occupations,Other production equipment operators and tenders,7,–,3,–,4,–
Production occupations,Other production workers,"1,162",856,862,893,301,771
Transportation and material moving occupations,Supervisors of transportation and material moving workers,313,"1,016",235,"1,127",78,791
Transportation and material moving occupations,Aircraft pilots and flight engineers,173,"2,015",158,"2,005",15,–
Transportation and material moving occupations,Air traffic controllers and airfield operations specialists,38,–,34,–,3,–
Transportation and material moving occupations,Flight attendants,74,961,19,–,55,815
Transportation and material moving occupations,"Ambulance drivers and attendants, except emergency medical technicians",13,–,9,–,4,–
Transportation and material moving occupations,"Bus drivers, school",115,660,46,–,69,650
Transportation and material moving occupations,"Bus drivers, transit and intercity",224,911,150,979,74,811
Transportation and material moving occupations,Driver/sales workers and truck drivers,"2,709","1,005","2,560","1,016",149,734
Transportation and material moving occupations,Shuttle drivers and chauffeurs,47,–,44,–,3,–
Transportation and material moving occupations,Taxi drivers,218,865,190,925,29,–
Transportation and material moving occupations,"Motor vehicle operators, all other",114,813,95,865,19,–
Transportation and material moving occupations,Locomotive engineers and operators,45,–,43,–,1,–
Transportation and material moving occupations,Railroad conductors and yardmasters,53,"1,642",50,"1,656",3,–
Transportation and material moving occupations,Other rail transportation workers,27,–,24,–,2,–
Transportation and material moving occupations,Sailors and marine oilers,16,–,12,–,3,–
Transportation and material moving occupations,Ship and boat captains and operators,27,–,27,–,0,–
Transportation and material moving occupations,Ship engineers,3,–,3,–,0,–
Transportation and material moving occupations,Parking attendants,41,–,37,–,4,–
Transportation and material moving occupations,Transportation service attendants,44,–,38,–,7,–
Transportation and material moving occupations,Transportation inspectors,35,–,32,–,4,–
Transportation and material moving occupations,Passenger attendants,25,–,9,–,16,–
Transportation and material moving occupations,Other transportation workers,29,–,24,–,5,–
Transportation and material moving occupations,Crane and tower operators,55,"1,316",54,"1,326",1,–
Transportation and material moving occupations,"Conveyor, dredge, and hoist and winch operators",21,–,19,–,2,–
Transportation and material moving occupations,Industrial truck and tractor operators,583,809,526,812,57,786
Transportation and material moving occupations,Cleaners of vehicles and equipment,299,694,242,704,57,605
Transportation and material moving occupations,"Laborers and freight, stock, and material movers, hand","1,584",765,"1,235",801,349,685
Transportation and material moving occupations,Machine feeders and offbearers,29,–,13,–,16,–
Transportation and material moving occupations,"Packers and packagers, hand",484,698,229,732,255,667
Transportation and material moving occupations,Stockers and order fillers,"1,084",706,729,730,355,667
Transportation and material moving occupations,Pumping station operators,18,–,17,–,1,–
Transportation and material moving occupations,Refuse and recyclable material collectors,74,762,69,789,5,–
Transportation and material moving occupations,Other material moving workers,50,889,38,–,11,–
