"Year","Men_Bucket","Women_Bucket","Total_Men","Total_Women","Top_Jobs_Men","Top_Jobs_Women"
2021,"$30000-40000","$70000-80000",22071,930,"",""
2021,"$30000-40000",NA,19088,339,"","Plasterers and stucco masons; Reinforcing iron and rebar workers"
2021,"$40000-50000","$20000-30000",317807,36092,"",""
2021,"$40000-50000","$30000-40000",24473792,8057560,"",""
2021,"$40000-50000","$40000-50000",4094306,11758585,"",""
2021,"$40000-50000","$50000-60000",9942,53193,"",""
2021,"$40000-50000","$60000-70000",4672,22030,"",""
2021,"$40000-50000","$70000-80000",56988,1052,"",""
2021,"$40000-50000","$1e+05-110000",39939,242,"",""
2021,"$40000-50000",NA,17124,335,"","Septic tank servicers and sewer pipe cleaners; Electrical and electronics installers and repairers, transportation equipment; Electronic equipment installers and repairers, motor vehicles; Commercial divers"
2021,"$50000-60000","$30000-40000",18537592,1865072,"",""
2021,"$50000-60000","$40000-50000",8491050,3079755,"",""
2021,"$50000-60000","$50000-60000",2080032,3490911,"",""
2021,"$50000-60000","$60000-70000",103042,245216,"",""
2021,"$50000-60000","$90000-1e+05",1414,661,"",""
2021,"$50000-60000",NA,23281,133,"","Solar photovoltaic installers; Excavating and loading machine and dragline operators, surface mining; Roustabouts, oil and gas"
2021,"$60000-70000","$30000-40000",61106,2147,"",""
2021,"$60000-70000","$40000-50000",9136365,4835583,"",""
2021,"$60000-70000","$50000-60000",10562346,17102283,"",""
2021,"$60000-70000","$60000-70000",705037,395648,"",""
2021,"$60000-70000","$70000-80000",28920,13686,"",""
2021,"$60000-70000","$90000-1e+05",19594,911,"",""
2021,"$60000-70000",NA,11364,262,"","Derrick, rotary drill, and service unit operators, oil and gas"
2021,"$70000-80000","$30000-40000",25820,1928,"",""
2021,"$70000-80000","$40000-50000",251950,250159,"",""
2021,"$70000-80000","$50000-60000",1226019,640817,"",""
2021,"$70000-80000","$60000-70000",2981490,1877952,"",""
2021,"$70000-80000","$70000-80000",860757,469895,"",""
2021,"$70000-80000",NA,4913,125,"","Wind turbine service technicians"
2021,"$80000-90000","$40000-50000",165764,74905,"",""
2021,"$80000-90000","$50000-60000",91725,107823,"",""
2021,"$80000-90000","$60000-70000",5989705,6464402,"",""
2021,"$80000-90000","$70000-80000",3122884,4469029,"",""
2021,"$80000-90000","$80000-90000",489762,242140,"",""
2021,"$80000-90000","$90000-1e+05",13428,1109,"",""
2021,"$80000-90000",NA,1079,46,"","Media and communication equipment workers, all other"
2021,"$90000-1e+05","$50000-60000",57731,2506,"",""
2021,"$90000-1e+05","$60000-70000",2282144,5478883,"",""
2021,"$90000-1e+05","$70000-80000",3191944,2342945,"",""
2021,"$90000-1e+05","$80000-90000",14482567,4739700,"",""
2021,"$90000-1e+05","$90000-1e+05",539171,105405,"",""
2021,"$90000-1e+05","$110000-120000",44566,1303,"",""
2021,"$1e+05-110000","$60000-70000",91849,53512,"",""
2021,"$1e+05-110000","$70000-80000",707022,840022,"",""
2021,"$1e+05-110000","$80000-90000",1270309,1162537,"",""
2021,"$1e+05-110000","$90000-1e+05",886604,138439,"",""
2021,"$1e+05-110000","$110000-120000",98848,6165,"",""
2021,"$110000-120000","$60000-70000",7025,1080,"",""
2021,"$110000-120000","$80000-90000",69738,191208,"",""
2021,"$110000-120000","$1e+05-110000",242479,38959,"",""
2021,"$120000-130000","$60000-70000",98806,6351,"",""
2021,"$120000-130000","$70000-80000",258355,114151,"",""
2021,"$120000-130000","$80000-90000",476267,207883,"",""
2021,"$120000-130000","$90000-1e+05",5503,10020,"",""
